Week,Role,Inventory,Incoming Shipping,Week,Role,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran ,Full Gen-AI
1,Retailer,10,"[(0, 2)]",1,Retailer,0.0,9.0,6.0,0.0,6.0,0.0,6,Simran ,Full Gen-AI
2,Retailer,6,"[(1, 3)]",2,Retailer,1.0,13.0,0.0,7.0,0.0,14.0,20,Simran ,Full Gen-AI
3,Retailer,0,"[(1, 4)]",3,Retailer,1.0,12.0,0.0,11.0,0.0,22.0,42,Simran ,Full Gen-AI
4,Retailer,0,"[(2, 5)]",4,Retailer,2.0,12.0,0.0,11.0,0.0,22.0,64,Simran ,Full Gen-AI
5,Retailer,0,"[(2, 6)]",5,Retailer,2.0,12.0,0.0,10.0,0.0,20.0,84,Simran ,Full Gen-AI
6,Retailer,0,"[(3, 7)]",6,Retailer,3.0,9.0,0.0,7.0,0.0,14.0,98,Simran ,Full Gen-AI
7,Retailer,0,"[(2, 8)]",7,Retailer,2.0,12.0,0.0,9.0,0.0,18.0,116,Simran ,Full Gen-AI
8,Retailer,0,"[(2, 9)]",8,Retailer,2.0,11.0,0.0,9.0,0.0,18.0,134,Simran ,Full Gen-AI
9,Retailer,0,"[(2, 10)]",9,Retailer,2.0,13.0,0.0,11.0,0.0,22.0,156,Simran ,Full Gen-AI
10,Retailer,0,"[(1, 11)]",10,Retailer,1.0,14.0,0.0,12.0,0.0,24.0,180,Simran ,Full Gen-AI
