,,,,Summary,,,,,,,,,,
,,,,,,,,,,,,,,
Strategy,Number of Iterations,Average Total Cost,Minimum Total Cost,Maximum Total Cost,,,,,,,,,,
Manual,5,86.8,36,137,,,,,,,,,,
GenAI-Assisted,5,102.4,71,133,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Gen AI-Assisted 1,,,,,,,,,,
,,,,,,,,,,,,,,
Week,Role,Inventory,Incoming Shipping,Week2,Role3,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran ,GenAI-Assisted
1,Retailer,10,"[(10, 2)]",1,Retailer,10,13,2,0,2,0,2,Simran ,GenAI-Assisted
2,Retailer,2,"[(5, 3)]",2,Retailer,5,9,3,0,3,0,5,Simran ,GenAI-Assisted
3,Retailer,3,"[(13, 4)]",3,Retailer,13,11,0,3,0,6,11,Simran ,GenAI-Assisted
4,Retailer,0,"[(11, 5)]",4,Retailer,11,13,0,0,0,0,11,Simran ,GenAI-Assisted
5,Retailer,0,"[(3, 6)]",5,Retailer,3,11,0,0,0,0,11,Simran ,GenAI-Assisted
6,Retailer,0,"[(14, 7)]",6,Retailer,14,14,0,11,0,22,33,Simran ,GenAI-Assisted
7,Retailer,0,"[(8, 8)]",7,Retailer,8,10,4,0,4,0,37,Simran ,GenAI-Assisted
8,Retailer,4,"[(8, 9)]",8,Retailer,8,10,2,0,2,0,39,Simran ,GenAI-Assisted
9,Retailer,2,"[(18, 10)]",9,Retailer,18,11,0,1,0,2,41,Simran ,GenAI-Assisted
10,Retailer,0,"[(15, 11)]",10,Retailer,15,10,8,0,8,0,49,Simran ,GenAI-Assisted
11,Retailer,8,"[(7, 12)]",11,Retailer,7,10,13,0,13,0,62,Simran ,GenAI-Assisted
12,Retailer,13,"[(15, 13)]",12,Retailer,15,11,9,0,9,0,71,Simran ,GenAI-Assisted
,,,,,,,,,,,,,,
,,,,Gen AI-Assisted 2,,,,,,,,,,
,,,,,,,,,,,,,,
Week,Role,Inventory,Incoming Shipping,Week2,Role3,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran ,GenAI-Assisted
1,Retailer,10,"[(10, 2)]",1,Retailer,10,12,3,0,3,0,3,Simran ,GenAI-Assisted
2,Retailer,3,"[(1, 3)]",2,Retailer,1,9,4,0,4,0,7,Simran ,GenAI-Assisted
3,Retailer,4,"[(3, 4)]",3,Retailer,3,13,0,8,0,16,23,Simran ,GenAI-Assisted
4,Retailer,0,"[(3, 5)]",4,Retailer,3,13,0,10,0,20,43,Simran ,GenAI-Assisted
5,Retailer,0,"[(3, 6)]",5,Retailer,3,11,0,8,0,16,59,Simran ,GenAI-Assisted
6,Retailer,0,"[(3, 7)]",6,Retailer,3,12,0,9,0,18,77,Simran ,GenAI-Assisted
7,Retailer,0,"[(19, 8)]",7,Retailer,19,14,0,11,0,22,99,Simran ,GenAI-Assisted
8,Retailer,0,"[(4, 9)]",8,Retailer,4,12,7,0,7,0,106,Simran ,GenAI-Assisted
9,Retailer,7,"[(10, 10)]",9,Retailer,10,11,0,0,0,0,106,Simran ,GenAI-Assisted
10,Retailer,0,"[(20, 11)]",10,Retailer,20,13,0,3,0,6,112,Simran ,GenAI-Assisted
11,Retailer,0,"[(10, 12)]",11,Retailer,10,9,11,0,11,0,123,Simran ,GenAI-Assisted
12,Retailer,11,"[(16, 13)]",12,Retailer,16,11,10,0,10,0,133,Simran ,GenAI-Assisted
,,,,,,,,,,,,,,
,,,,Gen AI-Assisted 3,,,,,,,,,,
,,,,,,,,,,,,,,
Week,Role,Inventory,Incoming Shipping,Week2,Role3,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
